,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,3MMRCi2i_ZCWnfe3PMmHZw,taste-of-india-flanders,Taste of India,https://s3-media3.fl.yelpcdn.com/bphoto/tQSvqL1GKcjangRxZNgA_A/o.jpg,False,https://www.yelp.com/biz/taste-of-india-flanders?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,180,"[{'alias': 'indpak', 'title': 'Indian'}]",4.4,"{'latitude': 40.83188, 'longitude': -74.710462}","['pickup', 'delivery']",$$,"{'address1': '286 Route 206 S', 'address2': '', 'address3': '', 'city': 'Flanders', 'zip_code': '07836', 'country': 'US', 'state': 'NJ', 'display_address': ['286 Route 206 S', 'Flanders, NJ 07836']}",+19735844878,(973) 584-4878,11845.975378827136
1,wan61Z8Sv84ZPKR1lmTj_g,the-clay-oven-indian-restaurant-ledgewood,The Clay Oven Indian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/9uPM1GCrfpUVXz7v7D2Stg/o.jpg,False,https://www.yelp.com/biz/the-clay-oven-indian-restaurant-ledgewood?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,167,"[{'alias': 'indpak', 'title': 'Indian'}]",3.9,"{'latitude': 40.8787628844883, 'longitude': -74.6495110263235}","['pickup', 'delivery']",$$,"{'address1': '1140 Rt 46', 'address2': '', 'address3': '', 'city': 'Ledgewood', 'zip_code': '07852', 'country': 'US', 'state': 'NJ', 'display_address': ['1140 Rt 46', 'Ledgewood, NJ 07852']}",+19732527270,(973) 252-7270,6171.313796183455
2,hkrHUScuAZynQZg1PQckYg,cinnamon-morris-plains,Cinnamon,https://s3-media4.fl.yelpcdn.com/bphoto/3LDqDhcub__lPEyzQIxv2g/o.jpg,False,https://www.yelp.com/biz/cinnamon-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,424,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'buffets', 'title': 'Buffets'}]",4.1,"{'latitude': 40.861406, 'longitude': -74.492597}","['pickup', 'delivery']",$$,"{'address1': '2920 State Route 10', 'address2': None, 'address3': '', 'city': 'Morris Plains', 'zip_code': '07950', 'country': 'US', 'state': 'NJ', 'display_address': ['2920 State Route 10', 'Morris Plains, NJ 07950']}",+19737340040,(973) 734-0040,7185.099287214838
3,vWEWgACFHwzZ6v5ZBcgj_Q,chakra-indian-cuisine-morristown,Chakra Indian Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/T8coTdB0zYpdMsAvW4nnFA/o.jpg,False,https://www.yelp.com/biz/chakra-indian-cuisine-morristown?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,35,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,"{'latitude': 40.79223456645802, 'longitude': -74.47580635302964}","['pickup', 'delivery']",,"{'address1': '5 Elm St', 'address2': '', 'address3': None, 'city': 'Morristown', 'zip_code': '07960', 'country': 'US', 'state': 'NJ', 'display_address': ['5 Elm St', 'Morristown, NJ 07960']}",+19734000170,(973) 400-0170,11969.869709482233
4,Vrwdh4E9_oLX7PIQ9p4cJg,sangeetha-morris-plains,Sangeetha,https://s3-media2.fl.yelpcdn.com/bphoto/SuKZ0WqFwuHaD9eCjlYv6A/o.jpg,False,https://www.yelp.com/biz/sangeetha-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,19,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.1,"{'latitude': 40.8482062, 'longitude': -74.47099862208839}",['delivery'],,"{'address1': '1767 NJ-10', 'address2': '', 'address3': None, 'city': 'Morris Plains', 'zip_code': '07950', 'country': 'US', 'state': 'NJ', 'display_address': ['1767 NJ-10', 'Morris Plains, NJ 07950']}",+19733300338,(973) 330-0338,9221.336187612249
5,L0LnBKnO9n2kqqQHUaBUJA,house-of-biryanis-and-kebabs-denville,House of Biryani's and Kebabs,https://s3-media3.fl.yelpcdn.com/bphoto/W53CXnQjBScRZFY29U4H4A/o.jpg,False,https://www.yelp.com/biz/house-of-biryanis-and-kebabs-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,66,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'kebab', 'title': 'Kebab'}]",4.2,"{'latitude': 40.88721, 'longitude': -74.46545}","['pickup', 'delivery']",$$,"{'address1': '315 US-46', 'address2': None, 'address3': '', 'city': 'Denville', 'zip_code': '07834', 'country': 'US', 'state': 'NJ', 'display_address': ['315 US-46', 'Denville, NJ 07834']}",+19739570818,(973) 957-0818,9696.850905186999
6,K85pBw57ogwiw3Wq09AmAA,bollywood-grill-2-morris-plains,Bollywood Grill 2,https://s3-media1.fl.yelpcdn.com/bphoto/Fa3vvckjEYDQCiuK9YO1xA/o.jpg,False,https://www.yelp.com/biz/bollywood-grill-2-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,53,"[{'alias': 'indpak', 'title': 'Indian'}]",3.8,"{'latitude': 40.84672533, 'longitude': -74.46840783}","['pickup', 'delivery']",,"{'address1': '1729 NJ-10 E', 'address2': None, 'address3': '', 'city': 'Morris Plains', 'zip_code': '07950', 'country': 'US', 'state': 'NJ', 'display_address': ['1729 NJ-10 E', 'Morris Plains, NJ 07950']}",+19739986303,(973) 998-6303,9477.705527048625
7,YvJll6PjAYF6vh08Hwraxg,sankalp-the-taste-of-india-cedar-knolls,Sankalp The Taste of India,https://s3-media1.fl.yelpcdn.com/bphoto/l_AqEpDQYwMa6j-HQ_cLuQ/o.jpg,False,https://www.yelp.com/biz/sankalp-the-taste-of-india-cedar-knolls?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,28,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,"{'latitude': 40.821292669991095, 'longitude': -74.4490873454091}","['pickup', 'delivery']",,"{'address1': '99 Ridgedale Ave', 'address2': None, 'address3': '', 'city': 'Cedar Knolls', 'zip_code': '07927', 'country': 'US', 'state': 'NJ', 'display_address': ['99 Ridgedale Ave', 'Cedar Knolls, NJ 07927']}",+19732874427,(973) 287-4427,11969.029462430246
8,XYu-m6dChvCkyqMYoKZ7bA,caffe-delhi-denville,Caffe Delhi,https://s3-media3.fl.yelpcdn.com/bphoto/o0Z0Z1Cjkx2pFvS5UtqU7w/o.jpg,False,https://www.yelp.com/biz/caffe-delhi-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,203,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,"{'latitude': 40.883918, 'longitude': -74.478416}","['pickup', 'delivery']",$$,"{'address1': '276 E Main St', 'address2': 'unit 5', 'address3': '', 'city': 'Denville', 'zip_code': '07834', 'country': 'US', 'state': 'NJ', 'display_address': ['276 E Main St', 'unit 5', 'Denville, NJ 07834']}",+19737843888,(973) 784-3888,8545.609686616906
9,JH0ZlSyP3mQNzP8kQLpwWg,mehndi-morristown-10,Mehndi,https://s3-media3.fl.yelpcdn.com/bphoto/nZzLz1r5uuMAhcTMfqKyVQ/o.jpg,False,https://www.yelp.com/biz/mehndi-morristown-10?adjust_creative=istl9jgw2i0Hp64EIdomvQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=istl9jgw2i0Hp64EIdomvQ,468,"[{'alias': 'indpak', 'title': 'Indian'}]",4.1,"{'latitude': 40.799675299562495, 'longitude': -74.48091779576046}","['pickup', 'delivery']",$$,"{'address1': '3 Speedwell Ave', 'address2': '', 'address3': '', 'city': 'Morristown', 'zip_code': '07960', 'country': 'US', 'state': 'NJ', 'display_address': ['3 Speedwell Ave', 'Morristown, NJ 07960']}",+19738712323,(973) 871-2323,11087.888622082213
